Date,Day,Open,High,Low,Close,Volume
2024-10-01 00:00:00,2,63491.7,63524,63484,63530.4,1.04242128
2024-10-01 00:01:00,2,63524.1,63500.3,63496.1,63547.1,0.71283951
2024-10-01 00:02:00,2,63500.3,63477.4,63472,63519.9,1.03791058
2024-10-01 00:03:00,2,63479.1,63532,63479.1,63563.5,0.55362726
2024-10-01 00:04:00,2,63533,63494,63494,63545.8,2.714888
2024-10-01 00:05:00,2,63494.1,63529.4,63481.6,63534,5.5760549
2024-10-01 00:06:00,2,63529.4,63490.1,63464,63529.4,1.01236846
2024-10-01 00:07:00,2,63490.4,63485.9,63480,63514.8,1.19631085
2024-10-01 00:08:00,2,63486,63460.3,63458.4,63491.9,2.39766077
2024-10-01 00:09:00,2,63460.3,63426.9,63426.9,63473.4,1.66500811
2024-10-01 00:10:00,2,63426.9,63467.9,63414.6,63473.9,4.34124222
2024-10-01 00:11:00,2,63467.9,63456.8,63444.1,63508,7.36826393
2024-10-01 00:12:00,2,63458.4,63432.7,63427.4,63458.4,7.25823524
2024-10-01 00:13:00,2,63434.6,63441.1,63434.5,63459.9,4.40907663
2024-10-01 00:14:00,2,63441.5,63457,63441.5,63467.5,0.98155551
2024-10-01 00:15:00,2,63456.9,63476.4,63441.1,63479.1,2.17723915
2024-10-01 00:16:00,2,63476.4,63498.1,63455.4,63499.9,3.24407114
2024-10-01 00:17:00,2,63498.1,63559.9,63498.1,63560,12.20940331
2024-10-01 00:18:00,2,63560,63590.2,63559.9,63618.5,5.95275349
2024-10-01 00:19:00,2,63590.3,63574,63568,63590.3,1.40961082
2024-10-01 00:20:00,2,63574.1,63596,63572,63603.2,5.40985819
2024-10-01 00:21:00,2,63596,63592.1,63579.1,63606.2,1.43202798
2024-10-01 00:22:00,2,63592.2,63649.9,63592.1,63650,3.31675674
2024-10-01 00:23:00,2,63650,63656.1,63650,63669.9,1.77891445
2024-10-01 00:24:00,2,63656.2,63610,63610,63656.2,1.61758053
